case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
a0a15ec5-e8b7-49bf-952e-1cc742d6fb74,a9f6e5b1-b40d-4933-9637-a2d18998901b,Indiana,1,Just Ask Catering,,,,2010-02-08 00:00:00,,,750.0,,
f86d7900-6b3a-4686-84ef-b966ab14b9a8,3c4bd6ec-a6e6-46be-ad00-f7e8e3d27d92,Indiana,1,Just Ask Catering,,,,2010-02-08 00:00:00,,,2500.0,2500.0,
ff0818c5-22db-49b6-9810-772f5654e458,db436027-9eee-42ed-8363-3e3caacfcd3b,Indiana,1,An Island LLC,,,,2010-02-08 00:00:00,,,1109.7,1109.7,
d069bc99-3214-4ded-8d11-33ab66b5b62f,0ab44967-7253-46f7-8cf0-ed3488dce6c6,Indiana,1,Jake Crew,,,,2010-02-08 00:00:00,,,517.5,,
1965e428-3629-402e-bda2-fb9ad43e347b,2878f997-6048-44f3-ad3c-8163059cbdbe,Indiana,1,Real Estate Alternative LLC,,,,2010-02-08 00:00:00,,,90.0,,
f4ec7f78-d7fa-486a-9c15-7487163aa530,77b51b3d-d7ba-4a0f-8414-e4e5ff2f3403,Indiana,1,BOJak's Sports Bar,,,,2010-02-08 00:00:00,,,285.5,,
466d9421-c11f-45a7-84c3-d93641cfb6ea,08ce0d13-0dba-4a8e-a910-21948187ccf8,Indiana,1,Ultimate Construction Services,,,,2010-02-08 00:00:00,,,229.12,,
1561d69f-90ce-4c47-82de-fad55eb93275,60c98264-8bfd-46ba-92e5-e13350246559,Indiana,1,No Name,,,,2010-02-08 00:00:00,,,432.0,,
9ce57ea1-1903-42c6-aa6e-78bb91836115,742cd36c-139b-47af-91be-30bded547025,Indiana,1,Greenworld Enviroment Mgmt,,,,2010-02-08 00:00:00,,,1323.96,,
b1fb47a2-e487-447e-915c-03f6d6a23138,203ce31b-bb28-4a99-95ea-517e806d1ba5,Indiana,1,Indy Spring Bottled Water,,,,2010-02-09 00:00:00,,,960.0,,
aefa10cb-330f-44fe-bd34-e2f3556fda0a,b3c4bfd9-e986-436c-8613-a787c88e457e,Indiana,1,Evans Garment Restoration,,,,2010-02-09 00:00:00,,,3205.0,,
cd52f44a-d440-4ffc-b65c-9e34f8205f35,c7373168-7603-42e4-8021-4b8e328bf30f,Indiana,1,Hobson Insurance Agency LLC,,,,2010-02-09 00:00:00,,,1301.82,,
c805c06e-7ae4-4766-be8d-e072618e671d,f890437e-6263-45b3-a5e6-820b90e37b01,Indiana,1,Royal on the Eastside,,,,2010-02-09 00:00:00,,,1489.98,,
ab200318-c765-4756-8a86-a67feab0364e,8333848b-15cc-44e6-bd74-fdf6b79a0304,Indiana,1,Grabet Post Buildings,,,,2010-02-09 00:00:00,,,1800.0,,
8a376695-b3f0-4cce-89d6-92c5f4acca0c,04c19d2c-24c3-464c-aafa-5743085bd04d,Indiana,1,Real Estate Alternative LLC,,,,2010-02-08 00:00:00,,,90.0,,
81240656-1dc1-47fc-be52-25ce0e16c2cd,6ca5bae0-a387-41fc-8413-22179dac821c,Indiana,1,Real Estate Alternative LLC,,,,2010-02-08 00:00:00,,,90.0,,
340f7722-aac8-4c86-9a80-d9cfdc41de69,600a9f7b-4b3c-4faf-925c-d8a0dce74856,Indiana,1,Indiana Fitness Works,,,,2010-02-09 00:00:00,,,1560.0,,
8c7a6344-b81e-487f-99bf-bb5e3165862f,67695d47-ceb7-4e5d-96af-9711b4f75c49,Indiana,1,Matterhorn Restaurant,,,,2010-02-10 00:00:00,,,5250.0,,
148efd53-4cc4-4878-a362-88dcc91fe029,4053de95-856b-419c-b469-29dd071753a6,Indiana,1,East Tenth Street Church of God,,,,2010-02-11 00:00:00,,,3705.57,,
050c862a-0f95-4723-8482-705b81e78bc2,b9f798cb-b4fa-43d6-bbcb-94061d01ecbe,Indiana,1,Brian Sandefur d/b/a Sandefur Construction,,,,2010-02-12 00:00:00,,,981.0,,
6d579380-cf90-48b2-a935-3e1d69f19fab,662696b0-021b-4739-a8c4-8a53787d705b,Indiana,1,I-80 Auto Parts,,,,2010-02-11 00:00:00,,,340.0,,
5de088d9-e833-44e8-9746-7d2f59a85a16,a39bbbb5-17b0-4af2-93bd-954764c35c89,Indiana,1,Abbey Carpet,,,,2010-02-12 00:00:00,2010-06-04,,1474.16,1474.16,1404.24
fefb2691-fa2d-4a67-9988-b0559404b8cb,b4de2bfb-3d8d-4d0a-947e-52b7b4d5987f,Indiana,1,Abbey Carpet,,,,2010-02-12 00:00:00,,,1416.58,,
92b8af7f-9471-4237-acdd-60a30567ceca,00b88a89-8610-49bc-8e54-80eed124f348,Indiana,1,Prudential Financial,,,,2010-02-12 00:00:00,,,1600.0,,
4a19fd05-23fd-40eb-ac38-0275a8e2edb3,d91df163-e08a-4652-a8fc-f51ea85b405a,Indiana,1,MLC-AFC Support Staff Schedule,,,,2010-02-12 00:00:00,,,640.0,,
9550d8c6-f6d7-4485-8beb-6b4a2ce572fb,3a7aebee-d8bf-4904-8c09-effcba849f18,Indiana,1,Airport Restaurant Inc.,,,,2010-02-12 00:00:00,2010-06-14,,110.25,110.25,51.73
56ef0157-a197-4ed3-bdaf-92407bb5158d,3c7fe762-b929-4146-9fa0-46d33a0b1403,Indiana,1,The Extra Smile,,,,2010-02-16 00:00:00,2010-05-27,,2432.0,,2280.0
7da3a839-8ad5-475d-97ab-f0f503026b36,90c9329c-cddb-45d8-9d00-05f3438548bd,Indiana,1,Interstate Omelet Shoppe,,,,2010-02-16 00:00:00,,,333.5,,
